1930046989,205372812
205372812,1084245267
1084245267,406535135
406535135,1825225840
1825225840,458923531
458923531,569082581
569082581,776927839
776927839,2010226173
2010226173,151224472
151224472,901954605
901954605,2039684164
2039684164,525733469
525733469,1867393478
1867393478,1760246952
1760246952,1341626419
1341626419,1307722869
1307722869,81684884
81684884,349576743
349576743,634242235
634242235,1286280273
1286280273,1951401020
1951401020,622293240
622293240,6028199
6028199,649517759
649517759,350176026
2023961909,350176026
350176026,1345093497
1345093497,435856485
435856485,172399437
172399437,1732902735
1732902735,1561373671
1561373671,1322070588
1322070588,767011511
767011511,991349540
991349540,404667672
404667672,1978338849
1978338849,44628414
44628414,1790519039
335332615,596271601
1790519039,596271601
596271601,2014001153
2014001153,1372191566
1372191566,1935796453
1935796453,683806170
683806170,1040575716
1040575716,1171106570
1171106570,424216593
424216593,1578460478
1578460478,2041452981
2041452981,1189641422
